90.3265 	EXP 	cue: autoDraw = True
90.5266 	EXP 	cue: autoDraw = False
90.5266 	EXP 	target: autoDraw = True
90.8616 	DATA 	Keypress: left
90.8623 	EXP 	New trial (rep=2, index=3): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 48)])
90.8767 	EXP 	cue: autoDraw = False
90.8767 	EXP 	target: autoDraw = False
90.8767 	EXP 	fixationITI: autoDraw = True
91.9616 	EXP 	fixationITI: autoDraw = False
91.9616 	EXP 	fixationITI: autoDraw = False
91.9616 	EXP 	cue: ori = 90.0
91.9616 	EXP 	target: pos = array([ 500.,    0.])
91.9616 	EXP 	cue: autoDraw = True
92.7607 	EXP 	cue: autoDraw = False
92.7607 	EXP 	target: autoDraw = True
93.0119 	DATA 	Keypress: right
